Year,Annee,ISO,Jurisdiction,Juridiction,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Area,Superficie
2000,2000,SK,Saskatchewan,Saskatchewan,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Spruce,epinette,Federal land,Terres federales,50,50
2000,2000,SK,Saskatchewan,Saskatchewan,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Fir,Sapin,Private land,Terres privees,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Pine,Pin,Private land,Terres privees,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Spruce,epinette,Private land,Terres privees,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Fir,Sapin,Provincial land,Terres provinciales,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,17,17
2000,2000,SK,Saskatchewan,Saskatchewan,Pine,Pin,Provincial land,Terres provinciales,1814,1814
2000,2000,SK,Saskatchewan,Saskatchewan,Spruce,epinette,Provincial land,Terres provinciales,10471,10471
2000,2000,SK,Saskatchewan,Saskatchewan,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,YT,Yukon,Yukon,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,YT,Yukon,Yukon,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,YT,Yukon,Yukon,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,YT,Yukon,Yukon,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,YT,Yukon,Yukon,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,YT,Yukon,Yukon,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,YT,Yukon,Yukon,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,YT,Yukon,Yukon,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
