Year,ISO,Jurisdiction,Species group,Tenure (En),Volume (cubic metres) (En),Data qualifier
1993,NT,Northwest Territories,Hardwoods,Provincial land,0,n
1993,NT,Northwest Territories,Hardwoods,Private land,0,n
1993,NT,Northwest Territories,Unspecified,Provincial land,0,u
1993,NT,Northwest Territories,Unspecified,Private land,0,u
1993,NT,Northwest Territories,Hardwoods,Federal land,0,u
1993,NT,Northwest Territories,Softwoods,Federal land,0,u
1993,NT,Northwest Territories,Unspecified,Federal land,0,u
1993,NT,Northwest Territories,Unspecified,Federal land,1500,E
1993,NU,Nunavut,Hardwoods,Federal land,0,u
1993,NU,Nunavut,Softwoods,Federal land,0,u
1993,NU,Nunavut,Unspecified,Federal land,0,u
1993,ON,Ontario,Unspecified,Private land,0,u
1993,ON,Ontario,Hardwoods,Federal land,0,u
1993,ON,Ontario,Softwoods,Federal land,0,u
1993,ON,Ontario,Unspecified,Federal land,0,u
1993,ON,Ontario,Unspecified,Federal land,1075000,E
1993,ON,Ontario,Hardwoods,Private land,576250,E
1993,ON,Ontario,Softwoods,Private land,2941500,E
1993,ON,Ontario,Softwoods,Provincial land,26288000,E
1993,ON,Ontario,Hardwoods,Provincial land,15146000,E
1993,PE,Prince Edward Island,Softwoods,Provincial land,25300,a
1993,PE,Prince Edward Island,Softwoods,Private land,224700,a
1993,PE,Prince Edward Island,Hardwoods,Provincial land,12900,a
1993,PE,Prince Edward Island,Hardwoods,Private land,177100,a
1993,PE,Prince Edward Island,Unspecified,Provincial land,0,u
1993,PE,Prince Edward Island,Unspecified,Private land,0,u
1993,PE,Prince Edward Island,Hardwoods,Federal land,0,u
1993,PE,Prince Edward Island,Softwoods,Federal land,0,u
1993,PE,Prince Edward Island,Unspecified,Federal land,0,u
1993,PE,Prince Edward Island,Unspecified,Federal land,1100,E
1993,QC,Quebec,Softwoods,Provincial land,31166400,a
1993,QC,Quebec,Softwoods,Private land,5336100,a
1993,QC,Quebec,Hardwoods,Provincial land,11325300,a
1993,QC,Quebec,Hardwoods,Private land,8183200,a
1993,QC,Quebec,Unspecified,Provincial land,0,u
1993,QC,Quebec,Unspecified,Private land,0,u
1993,QC,Quebec,Hardwoods,Federal land,0,u
