Year,Jurisdiction,Sector,Employees
2021,Manitoba,Paper manufacturing,1389
2021,Manitoba,Support activities for forestry,
2021,Manitoba,Wood product manufacturing,2122
2021,New Brunswick,Forestry and logging,1749
2021,New Brunswick,Paper manufacturing,2639
2021,New Brunswick,Support activities for forestry,519
2021,New Brunswick,Wood product manufacturing,5571
2021,Newfoundland and Labrador,Forestry and logging,
2021,Newfoundland and Labrador,Paper manufacturing,
2021,Newfoundland and Labrador,Support activities for forestry,36
2021,Newfoundland and Labrador,Wood product manufacturing,437
2021,Northwest Territories,Forestry and logging,
2021,Northwest Territories,Paper manufacturing,
2021,Northwest Territories,Support activities for forestry,
2021,Northwest Territories,Wood product manufacturing,
2021,Nova Scotia,Forestry and logging,520
2021,Nova Scotia,Paper manufacturing,642
2021,Nova Scotia,Support activities for forestry,318
2021,Nova Scotia,Wood product manufacturing,1530
2021,Nunavut,Forestry and logging,
2021,Nunavut,Paper manufacturing,
2021,Nunavut,Support activities for forestry,
2021,Nunavut,Wood product manufacturing,
2021,Ontario,Forestry and logging,2768
2021,Ontario,Paper manufacturing,15237
2021,Ontario,Support activities for forestry,1064
2021,Ontario,Wood product manufacturing,17510
2021,Prince Edward Island,Forestry and logging,
2021,Prince Edward Island,Paper manufacturing,
2021,Prince Edward Island,Support activities for forestry,
2021,Prince Edward Island,Wood product manufacturing,
2021,Quebec,Forestry and logging,5721
2021,Quebec,Paper manufacturing,18229
2021,Quebec,Support activities for forestry,3443
2021,Quebec,Wood product manufacturing,30612
2021,Saskatchewan,Forestry and logging,
2021,Saskatchewan,Paper manufacturing,
