Year,Annee,ISO,Jurisdiction,Juridiction,Cause,Origine,Area,Superficie,Number,Nombre
1995,1995,PE,Prince Edward Island,Ile-du-Prince-edouard,Lightning,Foudre,0,0,0,0
1995,1995,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,20,20,15,15
1995,1995,QC,Quebec,Quebec,Human activity,Activites humaines,123078.5,123078.5,672,672
1995,1995,QC,Quebec,Quebec,Lightning,Foudre,604648.2,604648.2,593,593
1995,1995,SK,Saskatchewan,Saskatchewan,Human activity,Activites humaines,63833.71,63833.71,295,295
1995,1995,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,1584600.18,1584600.18,355,355
1995,1995,SK,Saskatchewan,Saskatchewan,Unspecified,Indeterminee,375,375,1,1
1995,1995,YT,Yukon,Yukon,Human activity,Activites humaines,389.76,389.76,71,71
1995,1995,YT,Yukon,Yukon,Lightning,Foudre,260989.98,260989.98,76,76
1995,1995,YT,Yukon,Yukon,Unspecified,Indeterminee,502.5,502.5,1,1
1996,1996,AB,Alberta,Alberta,Human activity,Activites humaines,655.24,655.24,143,143
1996,1996,AB,Alberta,Alberta,Lightning,Foudre,14917.46,14917.46,239,239
1996,1996,AB,Alberta,Alberta,Unspecified,Indeterminee,24.39,24.39,16,16
1996,1996,BC,British Columbia,Colombie-Britannique,Human activity,Activites humaines,6579.8,6579.8,633,633
1996,1996,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,14089.3,14089.3,727,727
1996,1996,MB,Manitoba,Manitoba,Human activity,Activites humaines,2882.7,2882.7,187,187
1996,1996,MB,Manitoba,Manitoba,Lightning,Foudre,122443.7,122443.7,237,237
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activites humaines,1027.5,1027.5,239,239
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,908.1,908.1,84,84
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,81.2,81.2,44,44
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activites humaines,3161.1,3161.1,82,82
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,78149.3,78149.3,29,29
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activites humaines,601.63,601.63,238,238
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,2.27,2.27,4,4
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indeterminee,35.32,35.32,28,28
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activites humaines,84.66,84.66,20,20
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,371460.06,371460.06,330,330
1996,1996,ON,Ontario,Ontario,Human activity,Activites humaines,1849.800001,1849.800001,576,576
1996,1996,ON,Ontario,Ontario,Lightning,Foudre,443461.2,443461.2,669,669
1996,1996,ON,Ontario,Ontario,Unspecified,Indeterminee,3691.1,3691.1,30,30
1996,1996,PE,Prince Edward Island,Ile-du-Prince-edouard,Human activity,Activites humaines,0,0,0,0
1996,1996,PE,Prince Edward Island,Ile-du-Prince-edouard,Lightning,Foudre,0,0,0,0
1996,1996,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,0,0,0,0
1996,1996,QC,Quebec,Quebec,Human activity,Activites humaines,9575.9,9575.9,499,499
1996,1996,QC,Quebec,Quebec,Lightning,Foudre,682013.7,682013.7,751,751
1996,1996,SK,Saskatchewan,Saskatchewan,Human activity,Activites humaines,732.31,732.31,207,207
1996,1996,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,12254.68,12254.68,218,218
1996,1996,YT,Yukon,Yukon,Human activity,Activites humaines,15040.38,15040.38,66,66
1996,1996,YT,Yukon,Yukon,Lightning,Foudre,76026.75,76026.75,83,83
1997,1997,AB,Alberta,Alberta,Human activity,Activites humaines,4383.07,4383.07,204,204
1997,1997,AB,Alberta,Alberta,Lightning,Foudre,521.27,521.27,249,249
1997,1997,AB,Alberta,Alberta,Unspecified,Indeterminee,19.61,19.61,10,10
1997,1997,BC,British Columbia,Colombie-Britannique,Human activity,Activites humaines,2635.4,2635.4,489,489
1997,1997,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,332.4,332.4,687,687
1997,1997,MB,Manitoba,Manitoba,Human activity,Activites humaines,3648.7,3648.7,189,189
1997,1997,MB,Manitoba,Manitoba,Lightning,Foudre,38150.4,38150.4,184,184
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activites humaines,219.8,219.8,290,290
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,17.1,17.1,33,33
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,27,27,45,45
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activites humaines,8261.5,8261.5,68,68
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,283.2,283.2,10,10
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activites humaines,501.67,501.67,307,307
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,24.34,24.34,24,24
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indeterminee,39.15,39.15,39,39
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activites humaines,9.97,9.97,14,14
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,126521.29,126521.29,90,90
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,0.01,0.01,1,1
1997,1997,ON,Ontario,Ontario,Human activity,Activites humaines,2113.300002,2113.300002,925,925
1997,1997,ON,Ontario,Ontario,Lightning,Foudre,36224.3,36224.3,681,681
1997,1997,ON,Ontario,Ontario,Unspecified,Indeterminee,281.9000001,281.9000001,40,40
1997,1997,PE,Prince Edward Island,Ile-du-Prince-edouard,Human activity,Activites humaines,0,0,,
1997,1997,PE,Prince Edward Island,Ile-du-Prince-edouard,Lightning,Foudre,0,0,,
1997,1997,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,107,107,34,34
1997,1997,QC,Quebec,Quebec,Human activity,Activites humaines,4713.7,4713.7,514,514
1997,1997,QC,Quebec,Quebec,Lightning,Foudre,388365.5,388365.5,362,362
1997,1997,SK,Saskatchewan,Saskatchewan,Human activity,Activites humaines,1669.69,1669.69,232,232
1997,1997,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,2207.22,2207.22,257,257
1997,1997,YT,Yukon,Yukon,Human activity,Activites humaines,78.81,78.81,69,69
1997,1997,YT,Yukon,Yukon,Lightning,Foudre,11391.24,11391.24,43,43
1998,1998,AB,Alberta,Alberta,Human activity,Activites humaines,74977.08,74977.08,449,449
1998,1998,AB,Alberta,Alberta,Lightning,Foudre,673574.17,673574.17,1231,1231
1998,1998,AB,Alberta,Alberta,Unspecified,Indeterminee,225.02,225.02,58,58
