Year,Jurisdiction,NAICS,Value
2010,New Brunswick,Wood product manufacturing,4295
2010,Newfoundland and Labrador,Forestry and logging,445
2010,Newfoundland and Labrador,Paper manufacturing,495
2010,Newfoundland and Labrador,Support activities for forestry,165
2010,Newfoundland and Labrador,Wood product manufacturing,430
2010,Northwest Territories,Forestry and logging,10
2010,Northwest Territories,Paper manufacturing,0
2010,Northwest Territories,Support activities for forestry,170
2010,Northwest Territories,Wood product manufacturing,0
2010,Nova Scotia,Forestry and logging,1415
2010,Nova Scotia,Paper manufacturing,2135
2010,Nova Scotia,Support activities for forestry,655
2010,Nova Scotia,Wood product manufacturing,2905
2010,Ontario,Forestry and logging,4660
2010,Ontario,Paper manufacturing,22510
2010,Ontario,Support activities for forestry,3100
2010,Ontario,Wood product manufacturing,17845
2010,Prince Edward Island,Forestry and logging,40
2010,Prince Edward Island,Paper manufacturing,115
2010,Prince Edward Island,Support activities for forestry,25
2010,Prince Edward Island,Wood product manufacturing,95
2010,Quebec,Forestry and logging,10675
2010,Quebec,Paper manufacturing,22605
2010,Quebec,Support activities for forestry,6015
2010,Quebec,Wood product manufacturing,28130
2010,Saskatchewan,Forestry and logging,375
2010,Saskatchewan,Paper manufacturing,320
2010,Saskatchewan,Support activities for forestry,1085
2010,Saskatchewan,Wood product manufacturing,1335
2010,Yukon,Forestry and logging,25
2010,Yukon,Paper manufacturing,0
2010,Yukon,Support activities for forestry,10
2010,Yukon,Wood product manufacturing,30
2010,Northwest Territories including Nunavut,Forestry and logging,0
2010,Northwest Territories including Nunavut,Paper manufacturing,0
2010,Northwest Territories including Nunavut,Support activities for forestry,0
2010,Northwest Territories including Nunavut,Wood product manufacturing,0
2010,Nunavut,Forestry and logging,0
2010,Nunavut,Paper manufacturing,0
2010,Nunavut,Support activities for forestry,0
2010,Nunavut,Wood product manufacturing,0
2011,Canada,Forestry and logging,35630
2011,Canada,Paper manufacturing,61210
2011,Canada,Support activities for forestry,21790
2011,Canada,Wood product manufacturing,87165
2011,Alberta,Forestry and logging,2590
2011,Alberta,Paper manufacturing,2955
2011,Alberta,Support activities for forestry,1515
2011,Alberta,Wood product manufacturing,9930
2011,British Columbia,Forestry and logging,12010
2011,British Columbia,Paper manufacturing,8335
2011,British Columbia,Support activities for forestry,7305
2011,British Columbia,Wood product manufacturing,24180
2011,Manitoba,Forestry and logging,340
2011,Manitoba,Paper manufacturing,1410
2011,Manitoba,Support activities for forestry,495
2011,Manitoba,Wood product manufacturing,2405
2011,New Brunswick,Forestry and logging,2855
2011,New Brunswick,Paper manufacturing,2760
2011,New Brunswick,Support activities for forestry,895
2011,New Brunswick,Wood product manufacturing,4270
2011,Newfoundland and Labrador,Forestry and logging,485
2011,Newfoundland and Labrador,Paper manufacturing,480
2011,Newfoundland and Labrador,Support activities for forestry,190
2011,Newfoundland and Labrador,Wood product manufacturing,410
2011,Northwest Territories,Forestry and logging,10
2011,Northwest Territories,Paper manufacturing,0
2011,Northwest Territories,Support activities for forestry,175
2011,Northwest Territories,Wood product manufacturing,10
2011,Nova Scotia,Forestry and logging,1205
2011,Nova Scotia,Paper manufacturing,1880
2011,Nova Scotia,Support activities for forestry,585
2011,Nova Scotia,Wood product manufacturing,2030
2011,Ontario,Forestry and logging,5030
2011,Ontario,Paper manufacturing,21750
2011,Ontario,Support activities for forestry,3715
2011,Ontario,Wood product manufacturing,16225
2011,Prince Edward Island,Forestry and logging,50
2011,Prince Edward Island,Paper manufacturing,155
2011,Prince Edward Island,Support activities for forestry,25
