Année,Juridiction,SCIAN,Valeur
2008,Canada,Foresterie et exploitation forestière,41920
2008,Canada,Fabrication du papier,70560
2008,Canada,Activités de soutien à la foresterie,20610
2008,Canada,Fabrication de produits en bois,102075
2008,Alberta,Foresterie et exploitation forestière,2540
2008,Alberta,Fabrication du papier,3295
2008,Alberta,Activités de soutien à la foresterie,1815
2008,Alberta,Fabrication de produits en bois,9600
2008,Colombie-Britannique,Foresterie et exploitation forestière,13990
2008,Colombie-Britannique,Fabrication du papier,10575
2008,Colombie-Britannique,Activités de soutien à la foresterie,7460
2008,Colombie-Britannique,Fabrication de produits en bois,29505
2008,Manitoba,Foresterie et exploitation forestière,445
2008,Manitoba,Fabrication du papier,1600
2008,Manitoba,Activités de soutien à la foresterie,550
2008,Manitoba,Fabrication de produits en bois,4110
2008,Nouveau-Brunswick,Foresterie et exploitation forestière,2850
2008,Nouveau-Brunswick,Fabrication du papier,3225
2008,Nouveau-Brunswick,Activités de soutien à la foresterie,1055
2008,Nouveau-Brunswick,Fabrication de produits en bois,4595
2008,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,680
2008,Terre-Neuve-et-Labrador,Fabrication du papier,1070
2008,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,205
2008,Terre-Neuve-et-Labrador,Fabrication de produits en bois,420
2008,Territoires du Nord-Ouest,Foresterie et exploitation forestière,15
2008,Territoires du Nord-Ouest,Fabrication du papier,0
2008,Territoires du Nord-Ouest,Activités de soutien à la foresterie,175
2008,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2008,Nouvelle-Écosse,Foresterie et exploitation forestière,1765
2008,Nouvelle-Écosse,Fabrication du papier,2385
2008,Nouvelle-Écosse,Activités de soutien à la foresterie,605
2008,Nouvelle-Écosse,Fabrication de produits en bois,3450
2008,Ontario,Foresterie et exploitation forestière,6235
2008,Ontario,Fabrication du papier,25165
2008,Ontario,Activités de soutien à la foresterie,2665
2008,Ontario,Fabrication de produits en bois,20595
2008,Île-du-Prince-Édouard,Foresterie et exploitation forestière,45
2008,Île-du-Prince-Édouard,Fabrication du papier,105
2008,Île-du-Prince-Édouard,Activités de soutien à la foresterie,20
2008,Île-du-Prince-Édouard,Fabrication de produits en bois,230
2008,Québec,Foresterie et exploitation forestière,12930
2008,Québec,Fabrication du papier,22905
2008,Québec,Activités de soutien à la foresterie,4825
2008,Québec,Fabrication de produits en bois,28445
2008,Saskatchewan,Foresterie et exploitation forestière,405
2008,Saskatchewan,Fabrication du papier,235
2008,Saskatchewan,Activités de soutien à la foresterie,1225
2008,Saskatchewan,Fabrication de produits en bois,1110
2008,Yukon,Foresterie et exploitation forestière,20
2008,Yukon,Fabrication du papier,0
2008,Yukon,Activités de soutien à la foresterie,10
2008,Yukon,Fabrication de produits en bois,15
2008,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2008,Territoires du Nord-Ouest,Fabrication du papier,0
2008,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2008,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2008,Nunavut,Foresterie et exploitation forestière,0
2008,Nunavut,Fabrication du papier,0
2008,Nunavut,Activités de soutien à la foresterie,0
2008,Nunavut,Fabrication de produits en bois,0
2009,Canada,Foresterie et exploitation forestière,34855
2009,Canada,Fabrication du papier,64550
2009,Canada,Activités de soutien à la foresterie,21730
2009,Canada,Fabrication de produits en bois,87610
2009,Alberta,Foresterie et exploitation forestière,2315
2009,Alberta,Fabrication du papier,2865
2009,Alberta,Activités de soutien à la foresterie,1735
2009,Alberta,Fabrication de produits en bois,9030
2009,Colombie-Britannique,Foresterie et exploitation forestière,10130
