Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2002,Manitoba,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),23897
2002,Manitoba,Exports,Wood-Fabricated Materials,Plywood (cubic metres),378
2002,Manitoba,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),577153
2002,Manitoba,Exports,Wood-Fabricated Materials,Veneer (square metres),665
2002,New Brunswick,Exports,Primary Wood Products,Logs (cubic metres),14118
2002,New Brunswick,Exports,Primary Wood Products,Pulpwood (cubic metres),72
2002,New Brunswick,Exports,Pulp and Paper Products,Newsprint (tonnes),364127
2002,New Brunswick,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),720819
2002,New Brunswick,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),933528
2002,New Brunswick,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),50379
2002,New Brunswick,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),287489
2002,New Brunswick,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),52725
2002,New Brunswick,Exports,Wood-Fabricated Materials,Plywood (cubic metres),792
2002,New Brunswick,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),2710915
2002,New Brunswick,Exports,Wood-Fabricated Materials,Veneer (square metres),569692
2002,Newfoundland and Labrador,Exports,Pulp and Paper Products,Newsprint (tonnes),802345
2002,Newfoundland and Labrador,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5341
2002,Newfoundland and Labrador,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),117
2002,Newfoundland and Labrador,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),155273
2002,Northwest Territories,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),20
2002,Northwest Territories,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),36
2002,Nova Scotia,Exports,Primary Wood Products,Logs (cubic metres),1669
2002,Nova Scotia,Exports,Pulp and Paper Products,Newsprint (tonnes),335738
2002,Nova Scotia,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),265596
2002,Nova Scotia,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),593019
2002,Nova Scotia,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),2806
2002,Nova Scotia,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),553
2002,Nova Scotia,Exports,Wood-Fabricated Materials,Plywood (cubic metres),802
2002,Nova Scotia,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1143320
2002,Nova Scotia,Exports,Wood-Fabricated Materials,Veneer (square metres),1754
2002,Ontario,Exports,Primary Wood Products,Logs (cubic metres),304968
2002,Ontario,Exports,Primary Wood Products,Pulpwood (cubic metres),51297
2002,Ontario,Exports,Pulp and Paper Products,Newsprint (tonnes),1773415
2002,Ontario,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),1814368
2002,Ontario,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),1603252
2002,Ontario,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),530550
2002,Ontario,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2041514
2002,Ontario,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),362823
2002,Ontario,Exports,Wood-Fabricated Materials,Plywood (cubic metres),280925
2002,Ontario,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),4706478
